 ABBYYYY, ABBY ,,
 hospital, haspita ,,
 haspita, hospital ,,
 1.เงินกู้สวัสดิการแก่ข้าราชการ การเมืองท้องถิ่นสังกัด อบต. อบจ. และเทศบาล, 1.เงินกู้สวัสดิการแก่ข้าราชการ การเมืองท้องถิ่นสังกัด อบต. อบจ. และเทศบาล ,,
 2.เงินกู้สวัสดิการแก่ข้าราชการ การเมืองท้องถิ่นสังกัด อบต. อบจ. และเทศบาล, 2..เงินกสฺ.วัสุดฺ.ทาร.แก่ข้าราชการ.กา.รเ.มีองฺ.ท้องถนสุงฺ.กู้^.ชินร^.แส?เทศบาล ,,
 .เงินกสฺ.วัสุดฺ.ทาร.แก่ข้าราชการ.กา.รเ.มีองฺ.ท้องถนสุงฺ.กู้^.ชินร^.แส?เทศบาล,เงินกู้สวัสดิการแก่ข้าราชการ การเมืองท้องถิ่นสังกัด อบต. อบจ. และเทศบาล ,,
 3.เงินกู้สวัสดิการแก่ข้าราชการ, 3..เงินกสฺ.วัสุดฺ.ทาร.แก่ข้าราชการ ,,
 .เงินกสฺ.วัสุดฺ.ทาร.แก่ข้าราชการ, เงินกู้สวัสดิการแก่ข้าราชการ ,,
 4.สินเชื่อ, 4..สิน!?ชื่อ. ,,
 สินเชื่อ, .สิน!?ชื่อ. ,,
 5.สินเชื่อ, 5.ลัน!?ซื่ซี ,,
 สินเชื่อ, ลัน!?ซื่ซี ,,
 สินเชื่อ, ลินเชื่อ ,,
 สินเชื่อ, ลิมเชื่อ ,,
 สินเชื่อ, ลิน1ชื่อ ,,
 สินเชื่อ, ลินเชื่ ,,
 GILY, GEELY ,,
 HONDA, HYUNDAI ,,
 GEELY, GILY ,,
 HYUNDAI, HONDA ,,
,,,
 FLOMAX, VOLMAX ,,
 VOLMAX, FLOMAX ,,
,,,
,,,
 เงินกู้สวัสดิการแก่ข้าราชการ การเมืองท้องถิ่นสังกัด อบต. อบจ. และเทศบาล," 	เงินกู้สวัสดิการแก่ข้าราชการ การเมืองท้องลิ่นสังกัด อบต. อบจ. และเทศบาล ",,
 เงินกู้สวัสดิการแก่ข้าราชการ การเมืองท้องถิ่นสังกัด อบต. อบจ. และเทศบาล," 	.เงินกสฺ.วัสุดฺ.ทาร.แก่ข้าราชการ.กา.รเ.มีองฺ.ท้องถนสุงฺ.กู้^.ชินร^.แส?เทศบาล ",,
 เงินกู้สวัสดิการแก่ข้าราชการ การเมืองท้องถิ่นสังกัด อบต. อบจ. และเทศบาล," 	เงินก้สวัสดิการแก*ข้าราซการ การเมืองท-องกนสังกัด ชินต. อบจ. แสเทศบาส ",,
" สินเชื่อที่อยู่อาศัยที่ธนาคารออกค่าจำนองให้สำหรับลูกค้าในอำนาจของผู้บริหารกลุ่มเครือข่าย (ห้ามปิดก่อน 3 ปี)	", .สินเชื่อ.ที่.อยู่อา.ศัยฺที่ธนาคารออกค่าจํานองฺให้สําหรับลูกค้าใน.อาน่าจของผู้ บริ๋หารกลุ่มเครือข่าย(หามปิดก่อน 3 บี) ,,
 สินเชื่อที่อยู่อาศัยที่ธนาคารออกค่าจำนองให้สำหรับลูกค้าในอำนาจของผู้บริหารกลุ่มเครือข่าย(ห้ามปิดก่อน 3 ปี), .สิน!?ชื่อ.ที่.'อุ.ยู่'อุาศัยุ.ที่ธนาคารฺออฺกเค่าจํานองให้สำหรับลูกค้าในอำนาจของผู้ บร์หารกลุ่มเครํ่อขาย(ห้ามปืดกืชิน 3 บี) ,,
 สินเชื่อที่อยู่อาศัยที่ธนาคารออกค่าจำนองให้สำหรับลูกค้าในอำนาจของผู้บริหารกลุ่มเครือข่าย(ห้ามปิดก่อน 3 ปี),  ลัน!?ซื่ซีที่.อุธ์อุๆ.ศัยุ.ที่ธนาคารอซีกุค่า.จํานองให้สําหรับุฐ.กุ.ค่าในอํา,นาจของยู บริหารกลุ่มเครือข่าย(หามบีดกอน 3 บี) ,
" สินเชื่ออเนกประสงค์แบบพิเศษ สำหรับองค์กรปกครองส่วนท้องถิ่น	สินเชื่ออเนกประสงค์แบบพิเศษ", สําหรับองค์กรปกครองส่วนท้องถิ่น ,,
 สินเชื่ออเนกประสงค์แก่พนักงานรัฐวิสาหกิจ (ดำรงเงินฝาก)," 	.ชินุเฃีอ.'อุ.เนุทป.รุะสุงค์สิกุ.หรับพนัก.งานุรัซีวิสาหกิจ“ตํารงฺ.เงินฝาก ",,
" เงินกู้สวัสดิการแก่ข้าราชการ การเมืองท้องถิ่นสังกัด อบต. อบจ. และเทศบาล	ณ์น22บับับาท 1",,** ,  เงินก่สวัสดิการแก่ขาราชการ การเมืองทองถิ่นสังกัด ซิบต. อบจ. และเทศบาล 
" สินเชื่อ Home For Cash สำหรับลูกค้าในอำนาจของผู้บริหารกลุ่มเครือข่าย	สินเชื่อ Home For Cash", สินเชื่อ Home For Cash สำหรับลูกค้าในอำนาจของผู้บริหารกลุ่มเครือข่าย ,,
" สินเชื่อ Home For Cash สำหรับลูกค้าในอำนาจของผู้บริหารกลุ่มเครือข่าย	สินเชื่อ Home For Cash", สินเชื่อ Home For Cash ,,
 สินเชื่อ Home For Cash อัตราดอกเบี้ยพิเศษ ในอำนาจของผู้บริหารกลุ่มเครือข่าย (เพื่อป้องกัน Refinance)," 	.สินเชื่ชิ.HQmefFor Cash อัตรุาดอฺ.กุเบี้ย.พิเศ ขาย (เพือป้องกัน Refinance) ",,
